,Forecast_MW
2018-08-03 01:00:00,4807.4385
2018-08-03 02:00:00,4544.301
2018-08-03 03:00:00,4459.9243
2018-08-03 04:00:00,4482.4766
2018-08-03 05:00:00,4581.924
2018-08-03 06:00:00,4842.482
2018-08-03 07:00:00,5239.29
2018-08-03 08:00:00,5481.9067
2018-08-03 09:00:00,5628.9106
2018-08-03 10:00:00,5775.751
2018-08-03 11:00:00,6055.656
2018-08-03 12:00:00,6254.9624
2018-08-03 13:00:00,6329.4204
2018-08-03 14:00:00,6403.4746
2018-08-03 15:00:00,6447.3105
2018-08-03 16:00:00,6492.8164
2018-08-03 17:00:00,6448.9526
2018-08-03 18:00:00,6470.457
2018-08-03 19:00:00,6346.766
2018-08-03 20:00:00,6213.781
2018-08-03 21:00:00,6152.8022
2018-08-03 22:00:00,6003.4155
2018-08-03 23:00:00,5739.2705
2018-08-04 00:00:00,5258.0425
2018-08-04 01:00:00,4806.0596
2018-08-04 02:00:00,4524.748
2018-08-04 03:00:00,4421.0073
2018-08-04 04:00:00,4426.8975
2018-08-04 05:00:00,4513.9756
2018-08-04 06:00:00,4703.5703
2018-08-04 07:00:00,4942.412
2018-08-04 08:00:00,5152.1323
2018-08-04 09:00:00,5416.7627
2018-08-04 10:00:00,5637.2188
2018-08-04 11:00:00,5962.877
2018-08-04 12:00:00,6195.0933
2018-08-04 13:00:00,6284.3755
2018-08-04 14:00:00,6355.2144
2018-08-04 15:00:00,6399.0503
2018-08-04 16:00:00,6468.9375
2018-08-04 17:00:00,6460.1396
2018-08-04 18:00:00,6529.7803
2018-08-04 19:00:00,6408.2246
2018-08-04 20:00:00,6284.888
2018-08-04 21:00:00,6236.3716
2018-08-04 22:00:00,6111.5884
2018-08-04 23:00:00,5893.28
2018-08-05 00:00:00,5346.5425
2018-08-05 01:00:00,4876.7207
2018-08-05 02:00:00,4558.2656
2018-08-05 03:00:00,4440.8477
2018-08-05 04:00:00,4445.843
2018-08-05 05:00:00,4498.5117
2018-08-05 06:00:00,4665.7534
2018-08-05 07:00:00,4903.863
2018-08-05 08:00:00,5114.817
2018-08-05 09:00:00,5392.5796
2018-08-05 10:00:00,5643.5503
2018-08-05 11:00:00,5992.076
2018-08-05 12:00:00,6257.4688
2018-08-05 13:00:00,6393.407
2018-08-05 14:00:00,6466.1543
2018-08-05 15:00:00,6511.755
2018-08-05 16:00:00,6567.474
2018-08-05 17:00:00,6605.9414
2018-08-05 18:00:00,6701.69
2018-08-05 19:00:00,6581.3916
2018-08-05 20:00:00,6460.0273
2018-08-05 21:00:00,6411.5107
2018-08-05 22:00:00,6242.094
2018-08-05 23:00:00,5878.9653
2018-08-06 00:00:00,5654.8726
2018-08-06 01:00:00,5202.5127
2018-08-06 02:00:00,4957.693
2018-08-06 03:00:00,4876.817
2018-08-06 04:00:00,4855.8457
2018-08-06 05:00:00,4897.1436
2018-08-06 06:00:00,5274.518
2018-08-06 07:00:00,5674.9
2018-08-06 08:00:00,5894.4673
2018-08-06 09:00:00,5971.857
2018-08-06 10:00:00,6072.108
2018-08-06 11:00:00,6344.771
2018-08-06 12:00:00,6524.987
2018-08-06 13:00:00,6592.361
2018-08-06 14:00:00,6642.085
2018-08-06 15:00:00,6671.7964
2018-08-06 16:00:00,6683.833
2018-08-06 17:00:00,6603.0063
2018-08-06 18:00:00,6550.679
2018-08-06 19:00:00,6420.968
2018-08-06 20:00:00,6311.2046
2018-08-06 21:00:00,6216.798
2018-08-06 22:00:00,6029.5527
2018-08-06 23:00:00,5674.948
2018-08-07 00:00:00,5261.3135
2018-08-07 01:00:00,4788.1865
2018-08-07 02:00:00,4528.305
2018-08-07 03:00:00,4445.0093
2018-08-07 04:00:00,4464.034
2018-08-07 05:00:00,4573.8765
2018-08-07 06:00:00,4860.6445
2018-08-07 07:00:00,5275.4546
2018-08-07 08:00:00,5528.714
2018-08-07 09:00:00,5685.3457
2018-08-07 10:00:00,5797.554
2018-08-07 11:00:00,6070.2905
2018-08-07 12:00:00,6262.739
2018-08-07 13:00:00,6334.806
2018-08-07 14:00:00,6402.698
2018-08-07 15:00:00,6458.6606
2018-08-07 16:00:00,6502.0894
2018-08-07 17:00:00,6473.6807
2018-08-07 18:00:00,6492.87
2018-08-07 19:00:00,6363.4204
2018-08-07 20:00:00,6238.341
2018-08-07 21:00:00,6203.4595
2018-08-07 22:00:00,6027.5063
2018-08-07 23:00:00,5712.994
2018-08-08 00:00:00,5261.15
2018-08-08 01:00:00,4787.6035
2018-08-08 02:00:00,4526.847
2018-08-08 03:00:00,4442.4707
2018-08-08 04:00:00,4465.8047
2018-08-08 05:00:00,4575.1104
2018-08-08 06:00:00,4846.0933
2018-08-08 07:00:00,5264.3823
2018-08-08 08:00:00,5512.7915
2018-08-08 09:00:00,5656.6167
2018-08-08 10:00:00,5797.631
2018-08-08 11:00:00,6084.026
2018-08-08 12:00:00,6288.599
2018-08-08 13:00:00,6364.0464
2018-08-08 14:00:00,6438.1006
2018-08-08 15:00:00,6481.9365
2018-08-08 16:00:00,6529.247
2018-08-08 17:00:00,6507.306
2018-08-08 18:00:00,6519.631
2018-08-08 19:00:00,6394.5615
2018-08-08 20:00:00,6275.437
2018-08-08 21:00:00,6226.9204
2018-08-08 22:00:00,6057.556
2018-08-08 23:00:00,5746.7617
2018-08-09 00:00:00,5271.501
2018-08-09 01:00:00,4794.99
2018-08-09 02:00:00,4534.234
2018-08-09 03:00:00,4449.8574
2018-08-09 04:00:00,4472.4097
2018-08-09 05:00:00,4579.4443
2018-08-09 06:00:00,4850.4272
2018-08-09 07:00:00,5264.725
2018-08-09 08:00:00,5507.342
2018-08-09 09:00:00,5651.167
2018-08-09 10:00:00,5795.2754
2018-08-09 11:00:00,6076.9307
2018-08-09 12:00:00,6276.2373
2018-08-09 13:00:00,6350.6953
2018-08-09 14:00:00,6424.7495
2018-08-09 15:00:00,6468.5854
2018-08-09 16:00:00,6515.896
2018-08-09 17:00:00,6491.376
2018-08-09 18:00:00,6504.146
2018-08-09 19:00:00,6379.0767
2018-08-09 20:00:00,6259.093
2018-08-09 21:00:00,6210.576
2018-08-09 22:00:00,6054.0923
2018-08-09 23:00:00,5760.5073
2018-08-10 00:00:00,5281.6304
2018-08-10 01:00:00,4804.444
2018-08-10 02:00:00,4541.306
2018-08-10 03:00:00,4456.9297
2018-08-10 04:00:00,4479.482
2018-08-10 05:00:00,4578.929
2018-08-10 06:00:00,4839.4873
2018-08-10 07:00:00,5237.8013
2018-08-10 08:00:00,5480.418
2018-08-10 09:00:00,5627.422
2018-08-10 10:00:00,5773.055
2018-08-10 11:00:00,6052.96
2018-08-10 12:00:00,6252.2666
2018-08-10 13:00:00,6326.7246
2018-08-10 14:00:00,6400.779
2018-08-10 15:00:00,6444.6147
2018-08-10 16:00:00,6490.1206
2018-08-10 17:00:00,6450.786
2018-08-10 18:00:00,6472.2905
2018-08-10 19:00:00,6345.086
2018-08-10 20:00:00,6212.1006
2018-08-10 21:00:00,6151.122
2018-08-10 22:00:00,5993.3955
2018-08-10 23:00:00,5727.946
2018-08-11 00:00:00,5245.1084
2018-08-11 01:00:00,4802.2954
2018-08-11 02:00:00,4520.984
2018-08-11 03:00:00,4417.243
2018-08-11 04:00:00,4423.1333
