PJMW_MW,Hour,DayOfWeek,Month,Year,DayOfYear,weekofyear,Is_Holiday
4374,1,0,4,2002,91,14,0
4306,2,0,4,2002,91,14,0
4322,3,0,4,2002,91,14,0
4359,4,0,4,2002,91,14,0
4436,5,0,4,2002,91,14,0
4723,6,0,4,2002,91,14,0
5180,7,0,4,2002,91,14,0
5482,8,0,4,2002,91,14,0
5616,9,0,4,2002,91,14,0
5722,10,0,4,2002,91,14,0
5783,11,0,4,2002,91,14,0
5683,12,0,4,2002,91,14,0
5637,13,0,4,2002,91,14,0
5571,14,0,4,2002,91,14,0
5425,15,0,4,2002,91,14,0
5346,16,0,4,2002,91,14,0
5272,17,0,4,2002,91,14,0
5323,18,0,4,2002,91,14,0
5556,19,0,4,2002,91,14,0
5954,20,0,4,2002,91,14,0
5978,21,0,4,2002,91,14,0
5783,22,0,4,2002,91,14,0
5406,23,0,4,2002,91,14,0
5038,0,1,4,2002,92,14,0
4873,1,1,4,2002,92,14,0
4768,2,1,4,2002,92,14,0
4713,3,1,4,2002,92,14,0
4737,4,1,4,2002,92,14,0
4809,5,1,4,2002,92,14,0
5131,6,1,4,2002,92,14,0
5567,7,1,4,2002,92,14,0
5759,8,1,4,2002,92,14,0
5742,9,1,4,2002,92,14,0
5690,10,1,4,2002,92,14,0
5662,11,1,4,2002,92,14,0
5590,12,1,4,2002,92,14,0
5470,13,1,4,2002,92,14,0
5405,14,1,4,2002,92,14,0
5300,15,1,4,2002,92,14,0
5226,16,1,4,2002,92,14,0
5228,17,1,4,2002,92,14,0
5274,18,1,4,2002,92,14,0
5466,19,1,4,2002,92,14,0
5797,20,1,4,2002,92,14,0
5728,21,1,4,2002,92,14,0
5460,22,1,4,2002,92,14,0
5017,23,1,4,2002,92,14,0
4694,0,2,4,2002,93,14,0
4452,1,2,4,2002,93,14,0
4317,2,2,4,2002,93,14,0
4225,3,2,4,2002,93,14,0
4178,4,2,4,2002,93,14,0
4258,5,2,4,2002,93,14,0
4637,6,2,4,2002,93,14,0
5063,7,2,4,2002,93,14,0
5421,8,2,4,2002,93,14,0
5517,9,2,4,2002,93,14,0
5574,10,2,4,2002,93,14,0
5624,11,2,4,2002,93,14,0
5664,12,2,4,2002,93,14,0
5599,13,2,4,2002,93,14,0
